team,elo
Manchester City,1746.6023077224065
Cardiff City,1408.311686681226
Swansea City,1394.3718310940474
Sheffield United,1313.350700281069
Leicester City,1390.5289636431824
Ipswich Town,1382.2085899522008
Watford,1338.3077741241516
Burnley,1395.570257859475
Crystal Palace,1619.6197165761555
West Brom,1387.7381953427985
Fulham,1561.607814031647
Brentford,1587.244617688046
Brighton,1625.2464752847152
Leeds United,1414.0254840228545
Southampton,1296.145526353931
Wolves,1518.4874030962758
Manchester Utd,1516.0395990747909
Huddersfield Town,1285.293952988004
West Ham United,1505.7316283258415
Stoke City,1409.2247828642019
Bournemouth,1573.1346657899146
Chelsea,1672.0113300354817
Tottenham Hotspur,1463.7988614072947
Newcastle United,1641.8937924222512
Luton Town,1397.7594139268915
Nottingham Forest,1589.4273435868035
Aston Villa,1663.1663008041955
Norwich City,1321.5422950000207
Liverpool,1749.9071412744302
Everton,1589.645980354467
Arsenal,1742.0555683912269
